State,DTI,Year
Alabama,1.6,2008
Alaska,1.72,2008
Arizona,2.06,2008
Arkansas,1.4,2008
California,2.06,2008
Colorado,2.06,2008
Connecticut,1.72,2008
Delaware,1.72,2008
Florida,2.06,2008
Georgia,2.06,2008
Hawaii,2.06,2008
Idaho,2.06,2008
Illinois,1.72,2008
Indiana,1.5,2008
Iowa,1.24,2008
Kansas,1.32,2008
Kentucky,1.4,2008
Louisiana,1.32,2008
Maine,1.84,2008
Maryland,2.06,2008
Massachusetts,1.6,2008
Michigan,1.72,2008
Minnesota,1.72,2008
Mississippi,1.5,2008
Missouri,1.5,2008
Montana,1.84,2008
Nebraska,1.24,2008
Nevada,2.06,2008
New Hampshire,2.06,2008
New Jersey,1.84,2008
New Mexico,1.84,2008
New York,1.32,2008
North Carolina,1.84,2008
North Dakota,0.4,2008
Ohio,1.5,2008
Oklahoma,1.32,2008
Oregon,2.06,2008
Pennsylvania,1.4,2008
Rhode Island,2.06,2008
South Carolina,2.06,2008
South Dakota,1.5,2008
Tennessee,1.6,2008
Texas,1.24,2008
Utah,2.06,2008
Vermont,1.6,2008
Virginia,2.06,2008
Washington,2.06,2008
West Virginia,1.32,2008
Wisconsin,1.4,2008
Wyoming,1.32,2008
